access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
meantime	/ˈminˌtaɪm/	n. 其时，其间 adv. 当时
portion	/ˈpɔɹʃən/	n. 一部分；一份
dinner	/ˈdɪnɝ/	n. 正餐，主餐；宴会
distribution	/ˌdɪstɹəbˈjuʃən/	n. 分发，分配；分布
African	/ˈæfɹəkən/, /ˈæfɹɪkən/	adj. 非洲的 n. 非洲人
emphasize	/ˈɛmfəˌsaɪz/	v. 强调，着重
kill	/ˈkɪɫ/	v. 杀死；扼杀；消磨
cough	/ˈkɑf/, /ˈkɔf/	v. 咳，咳嗽 n. 咳嗽
restraint	/ɹiˈstɹeɪnt/, /ɹɪˈstɹeɪnt/	n. 抑制；遏制；克制
composition	/ˌkɑmpəˈzɪʃən/	n. 构成；作品；写作
porter	/ˈpɔɹtɝ/	n. 搬运工人
verify	/ˈvɛɹəˌfaɪ/	v. 证实，查证；证明
it	/ˈɪt/, /ɪt/	pron. 这，那，它
comb	/ˈkoʊm/	n. 梳子 v. 梳理
conquest	/ˈkɑŋkwɛst/	n. 攻取，征服；克服
bristle	/ˈbɹɪsəɫ/	n. 短而硬的毛；鬃毛
especially	/əˈspɛʃəɫi/, /əˈspɛʃɫi/	adv. 尤其；特别，格外
absent	/ˈæbsənt/	adj. 不在场的；缺乏的
bottle	/ˈbɑtəɫ/	n. 瓶，酒瓶；一瓶
crush	/ˈkɹəʃ/	v. 压碎，碾碎；镇压
delegation	/ˌdɛɫəˈɡeɪʃən/	n. 代表团
ourselves	/aʊɝˈsɛɫvz/, /ɑɹˈsɛɫvz/	pron. 我们自己
civilization	/ˌsɪvəɫɪˈzeɪʃən/	n. 文明，文化；开化
objective	/əbˈdʒɛktɪv/	adj. 客观的；无偏见的
sulphur	/ˈsəɫfɝ/	n. 硫（磺），硫黄
request	/ɹiˈkwɛst/, /ɹɪˈkwɛst/	n. 请求，要求 v. 请求，要求
talent	/ˈtæɫənt/	n. 才能；天才；人才
physical	/ˈfɪzɪkəɫ/	adj. 物质的；物理的
appliance	/əˈpɫaɪəns/	n. 用具，器具，器械
inspection	/ˌɪnˈspɛkʃən/	n. 检阅；检查，审查
bang	/ˈbæŋ/	n. 巨响，枪声；猛击
reflect	/ɹɪˈfɫɛkt/	v. 反射；反映；思考
happiness	/ˈhæpinəs/	n. 幸福，幸运；快乐
attention	/əˈtɛnʃən/	n. 注意，留心；注意力
January	/ˈdʒænjuˌɛɹi/	n. 一月
venture	/ˈvɛntʃɝ/	n. 冒险 v. 敢于
input	/ˈɪnˌpʊt/	n. 输入；投入的资金
roar	/ˈɹɔɹ/	v. 吼叫；呼喊 n. 吼
faithful	/ˈfeɪθfəɫ/	adj. 忠诚的；如实的
monkey	/ˈməŋki/	n. 猴子，猿
behalf	/bɪˈhæf/	n. 代表某人
operator	/ˈɑpɝˌeɪtɝ/	n. 接线员；操作人员
humble	/ˈhəmbəɫ/	adj. 谦逊的；地位低下的
manufacturer	/ˌmænjəˈfæktʃɝɝ/	n. 制造商；制造厂
mug	/ˈməɡ/	n. 大杯
goat	/ˈɡoʊt/	n. 山羊
democracy	/dɪˈmɑkɹəsi/	n. 民主制；民主
represent	/ˌɹɛpɹɪˈzɛnt/	v. 代表；象征；描绘
accustom	/əˈkəstəm/	v. 使习惯
city	/ˈsɪti/	n. 城市，都市
spoil	/ˈspɔɪɫ/	v. 损坏，糟蹋；宠坏
packet	/ˈpækət/, /ˈpækɪt/	n. 小包（裹），小捆
object	/ˈɑbdʒɛkt/, /əbˈdʒɛkt/	n. 物，物体；目的
rate	/ˈɹeɪt/	n. 比率；速度；价格
American	/əˈmɛɹəkən/, /əˈmɛɹɪkən/	adj. 美洲的 n. 美国人
pull	/ˈpʊɫ/	v. 拉，拖 n. 拉，拉力
mixture	/ˈmɪkstʃɝ/	n. 混合；混合物
October	/ɑkˈtoʊbɝ/	n. 十月
pigeon	/ˈpɪdʒən/, /ˈpɪdʒɪn/	n. 鸽子
conversely	/ˈkɑnvɝsɫi/	adv. 相反地
multiply	/ˈməɫtəˌpɫaɪ/	v. 乘；使增加
divorce	/dɪˈvɔɹs/	n. 离婚，离异 v. 离婚
tray	/ˈtɹeɪ/	n. 托盘，碟；（浅）盘
contrast	/ˈkɑntɹæst/, /kənˈtɹæst/	n. 对比，对照，悬殊
mad	/ˈmæd/	adj. 发疯的；恼火的
sacrifice	/ˈsækɹəˌfaɪs/	n. 牺牲；献祭 v. 牺牲；献祭
various	/ˈvɛɹiəs/	adj. 各种各样的，不同的
stuff	/ˈstəf/	n. 东西 v. 装，填，塞
rely	/ɹiˈɫaɪ/, /ɹɪˈɫaɪ/	v. 依赖，依靠；信赖
diameter	/daɪˈæmətɝ/	n. 直径
boss	/ˈbɑs/, /ˈbɔs/	n. 老板，上司 v. 指挥
dying	/ˈdaɪɪŋ/	adj. 垂死的；临终的
indeed	/ˌɪnˈdid/	adv. 确实；真正地
ignorant	/ˈɪɡnɝənt/	adj. 不知道的；无知的
occasionally	/əˈkeɪʒənəɫi/, /əˈkeɪʒənɫi/, /əˈkeɪʒnəɫi/	adv. 偶然；非经常地
decent	/ˈdisənt/	adj. 体面的；正派的
human	/ˈhjumən/, /ˈjumən/	adj. 人的，人类的 n. 人
glitter	/ˈɡɫɪtɝ/	v. 闪闪发光 n. 闪光
receipt	/ɹiˈsit/, /ɹɪˈsit/	n. 收条，收据；收到
adventure	/ædˈvɛntʃɝ/, /ədˈvɛntʃɝ/	n. 冒险；惊险活动
lover	/ˈɫəvɝ/	n. 情人；情侣；爱好者
infant	/ˈɪnfənt/	n. 婴儿 adj. 婴儿的
muddy	/ˈmədi/	adj. 多泥的，泥泞的
beast	/ˈbist/	n. 兽，野兽
faint	/ˈfeɪnt/	adj. 微弱的；虚弱的
alarm	/əˈɫɑɹm/	n. 警报；惊恐，忧虑
convention	/kənˈvɛnʃən/	n. 习俗，惯例；公约
durable	/ˈdʊɹəbəɫ/	adj. 耐久的，耐用的
bed	/ˈbɛd/	n. 床，床位；圃；河床
silent	/ˈsaɪɫənt/	adj. 寂静无声的；沉默的
dislike	/dɪˈsɫaɪk/	v. 不喜爱，厌恶 n. 不喜爱，厌恶
greatly	/ˈɡɹeɪtɫi/	adv. 大大地，非常
quotation	/kwoʊˈteɪʃən/	n. 引用；引文；报价单
pity	/ˈpɪti/	n. 遗憾；怜悯 v. 同情
border	/ˈbɔɹdɝ/	n. 边，边缘；边界
panel	/ˈpænəɫ/	n. 专门小组；面，板
wrap	/ˈɹæp/	v. 裹，包，捆 n. 披肩
passage	/ˈpæsədʒ/, /ˈpæsɪdʒ/	n. 通路，通道；通过
waken	/ˈweɪkən/	v. 醒来；弄醒
care	/ˈkɛɹ/	v. 介意；关心 n. 小心
major	/ˈmeɪdʒɝ/	adj. 较大的 n. 专业
organic	/ɔɹˈɡænɪk/	adj. 有机体的；器官的
easy	/ˈizi/	adj. 容易的；安逸的
improve	/ˌɪmˈpɹuv/	v. 改善；使更好
hi	/ˈhaɪ/	int. 嗨（表示问候等）
tissue	/ˈtɪsˌju/, /ˈtɪʃu/	n. 薄绢；薄纸；组织
vigorous	/ˈvɪɡɝəs/	adj. 朝气蓬勃的
fancy	/ˈfænsi/	n. 想象力；设想；爱好
income	/ˈɪnˌkəm/	n. 收入；收益；进款
knot	/ˈnɑt/	n. （绳的）结；（树的）节
construction	/kənˈstɹəkʃən/	n. 建造；建筑；建筑物
inquire	/ˌɪnˈkwaɪɹ/	v. 打听，询问；调查
spark	/ˈspɑɹk/	n. 火花，火星
aside	/əˈsaɪd/	adv. 在旁边，到旁边
stripe	/ˈstɹaɪp/	n. 条纹，条子
meter	/ˈmitɝ/	n. 计量器；计，表
frequent	/ˈfɹiˌkwɛnt/, /ˈfɹikwənt/	adj. 时常发生的；经常的
pure	/ˈpjʊɹ/	adj. 纯粹的；纯洁的
beyond	/ˌbiˈɔnd/, /bɪˈɑnd/, /bɪˈɔnd/	prep. 在…的那边
eager	/ˈiɡɝ/	adj. 渴望的，热切的
fox	/ˈfɑks/	n. 狐狸；狡猾的人
penny	/ˈpɛni/	n. （英）便士；（美）分
infer	/ˌɪnˈfɝ/	v. 推论，推断；猜想
steam	/ˈstim/	n. 蒸汽 v. 蒸发；蒸
file	/ˈfaɪɫ/	n. 档案 v. 把…归档
midnight	/ˈmɪdˌnaɪt/	n. 午夜，子夜，夜半
scientific	/ˌsaɪənˈtɪfɪk/	adj. 科学（上）的
oil	/ˈɔɪɫ/	n. 油；石油 v. 加油于
instruct	/ˌɪnˈstɹəkt/	v. 指示；教；通知
protest	/ˈpɹoʊˌtɛst/, /pɹəˈtɛst/	n. 抗议 v. 抗议
cancer	/ˈkænsɝ/	n. 癌，癌症，肿瘤
instantly	/ˈɪnstəntɫi/	adv. 立即，即刻
Chinese	/tʃaɪˈniz/	adj. 中国的 n. 中国人
remedy	/ˈɹɛmədi/	n. 治疗；补救 v. 治疗；补救
good	/ˈɡʊd/, /ɡɪd/	adj. 好的；有本事的
method	/ˈmɛθəd/	n. 方法，办法；教学法
monthly	/ˈmənθɫi/	adj. 每月的 adv. 每月
dream	/ˈdɹim/	n. 梦；梦想 v. 做梦
load	/ˈɫoʊd/	v. 装；装满 n. 负载
fuel	/ˈfjuəɫ/, /ˈfjuɫ/	n. 燃料 v. 给…加燃料
modern	/ˈmɑdɝn/	adj. 现代的，近代的
common	/ˈkɑmən/	adj. 普通的；共同的
recommend	/ˌɹɛkəˈmɛnd/	v. 劝告；推荐，介绍
produce	/ˈpɹoʊdus/, /pɹəˈdus/	v. 产生；生产；展现
definition	/ˌdɛfəˈnɪʃən/	n. 定义，释义；定界
castle	/ˈkæsəɫ/	n. 城堡；巨大建筑物
supreme	/səˈpɹim/, /sɝˈpɹim/	adj. 最高的；最大的
ask	/ˈæsk/	v. 问；要求；邀请
dumb	/ˈdəm/	adj. 哑的；无言的
pin	/ˈpɪn/	n. 针，饰针 v. 别住
attain	/əˈteɪn/	v. 获得；达到
curtain	/ˈkɝtən/	n. 帘，窗帘；幕（布）
raise	/ˈɹeɪz/	v. 举起；引起；提高
fog	/ˈfɑɡ/, /ˈfɔɡ/	n. 雾；烟雾，尘雾
rotten	/ˈɹɑtən/	adj. 腐烂的，发臭的
mysterious	/mɪˈstɪɹiəs/	adj. 神秘的；难以理解的
diary	/ˈdaɪɝi/, /ˈdaɪɹi/	n. 日记，日记簿
survive	/sɝˈvaɪv/	v. 幸免于；活下来
bicycle	/ˈbaɪsɪkəɫ/	n. 自行车，脚踏车
sausage	/ˈsɔsədʒ/, /ˈsɔsɪdʒ/	n. 香肠，腊肠
attack	/əˈtæk/	v. 攻击，进攻 n. 攻击，进攻
saw	/ˈsɔ/	n. 锯子 v. 锯，锯开
indication	/ˌɪndəˈkeɪʃən/	n. 指示；表示；表明
attempt	/əˈtɛmpt/	v. 尝试，试图 n. 企图
submarine	/ˈsəbmɝˌin/, /ˌsəbmɝˈin/	adj. 水下的 n. 潜水艇
revolution	/ˌɹɛvəˈɫuʃən/	n. 革命；旋转，绕转
overseas	/ˈoʊvɝˈsiz/	adv. 海外 adj. 在海外的
oriental	/ˌɔɹiˈɛnəɫ/, /ˌɔɹiˈɛntəɫ/	adj. 东方的；东方国家的
for	/ˈfɔɹ/, /fɝ/, /fɹɝ/	prep. 给；为；因为
manufacture	/ˌmænjəˈfæktʃɝ/	v. 制造 n. 制造；产品
healthy	/ˈhɛɫθi/	adj. 健康的；有益健康的
multiple	/ˈməɫtəpəɫ/	adj. 多的；多种的
cock	/ˈkɑk/	n. 公鸡；雄禽；旋塞
actress	/ˈæktɹəs/	n. 女演员
strap	/ˈstɹæp/	n. 带子 v. 捆扎
economic	/ˌɛkəˈnɑmɪk/, /ˌikəˈnɑmɪk/	adj. 经济的，经济学的
solution	/səˈɫuʃən/	n. 解决，解答；溶解
barrel	/ˈbæɹəɫ/, /ˈbɛɹəɫ/	n. 桶；圆筒；枪管
hand	/ˈhænd/	n. 手；指针
partly	/ˈpɑɹtɫi/	adv. 部分地，不完全地
paw	/ˈpɔ/	n. 脚爪，爪子
upset	/ˈəpˌsɛt/, /əpˈsɛt/	v. 弄翻，打翻，倾覆
plunge	/ˈpɫəndʒ/	v. 使投入；使陷入
injury	/ˈɪndʒɝi/	n. 损害，伤害；受伤处
hopeless	/ˈhoʊpɫəs/	adj. 没有希望的；绝望的
escape	/ɪˈskeɪp/	v. 逃跑；逸出 n. 逃跑
philosophy	/fəˈɫɑsəfi/	n. 哲学；哲理；人生观
thrive	/ˈθɹaɪv/	v. 兴旺，繁荣，旺盛
fireman	/ˈfaɪɹmən/	n. 消防队员
awfully	/ˈɑfɫi/, /ˈɔfəɫi/	adv. 令人畏惧的；很
golden	/ˈɡoʊɫdən/	adj. 金色的；极好的
technical	/ˈtɛknɪkəɫ/	adj. 技术的，工艺的
carrot	/ˈkæɹət/, /ˈkɛɹət/	n. 胡萝卜
concerning	/kənˈsɝnɪŋ/	prep. 关于
lot	/ˈɫɑt/, /ˈɫɔt/	pron.. 许多，大量 n. 抽签，抓阄
unlikely	/ənˈɫaɪkɫi/	adj. 未必的，未必可能的
liar	/ˈɫaɪɝ/	n. 说谎的人
family	/ˈfæməɫi/, /ˈfæmɫi/	n. 家，家庭；家族
hay	/ˈheɪ/	n. 干草
stress	/ˈstɹɛs/	n. 压力；重音 v. 着重
many	/ˈmɛni/	det.. 许多的 pron. 许多人
goal	/ˈɡoʊɫ/	n. 目的；球门；得分
indefinite	/ˌɪnˈdɛfənət/	adj. 不明确的；不定的
inner	/ˈɪnɝ/	adj. 内部的；内心的
bear	/ˈbɛɹ/	n. 熊；粗鲁的人
pretty	/ˈpɹɪti/	adj. 漂亮的，标致的
therefore	/ˈðɛɹˌfɔɹ/	adv. 因此，所以
goose	/ˈɡus/	n. 鹅；雌鹅
afford	/əˈfɔɹd/	v. 担负得起…；提供
pupil	/ˈpjupəɫ/	n. 学生，小学生
dairy	/ˈdɛɹi/	n. 牛奶场 adj. 乳制品
boundary	/ˈbaʊndɝi/, /ˈbaʊndɹi/	n. 分界线，边界
afterward	/ˈæftɝwɝd/	adv. 后来，以后
fan	/ˈfæn/	n. （运动等）狂热爱好者
election	/ɪˈɫɛkʃən/	n. 选举；当选
wheat	/ˈhwit/, /ˈwit/	n. 小麦
plant	/ˈpɫænt/	n. 植物；工厂 v. 栽种
page	/ˈpeɪdʒ/	n. 页
spite	/ˈspaɪt/	3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
relationship	/ɹiˈɫeɪʃənˌʃɪp/	n. 关系；联系
grape	/ˈɡɹeɪp/	n. 葡萄；葡萄藤
restrain	/ɹiˈstɹeɪn/	v. 抑制，遏制；限制
dimension	/dɪˈmɛnʃən/	n. 尺寸，尺度；面积
saucer	/ˈsɔsɝ/	n. 茶托，浅碟
observer	/əbˈzɝvɝ/	n. 观察员，观测者
hero	/ˈhiɹoʊ/, /ˈhɪɹoʊ/	n. 英雄；勇士；男主角
happen	/ˈhæpən/	v. 发生；碰巧，恰好
kick	/ˈkɪk/	v. 踢 n. 踢
jet	/ˈdʒɛt/	n. 喷气式飞机；喷嘴
chemistry	/ˈkɛməstɹi/, /ˈkɛmɪstɹi/	n. 化学
interaction	/ˌɪnɝˈækʃən/, /ˌɪntɝˈækʃən/	n. 相互作用；干扰
evil	/ˈivəɫ/	n. 祸害；邪恶 adj. 坏的
sponsor	/ˈspɑnsɝ/	n. 发起者 v. 发起
gown	/ˈɡaʊn/	n. 长袍，长外衣
shot	/ˈʃɑt/	n. 发射；弹丸；射门
gay	/ˈɡeɪ/	adj. 快乐的；鲜明的
obstacle	/ˈɑbstəkəɫ/	n. 障碍，妨害；障碍物
sometime	/ˈsəmˌtaɪm/	adv. 在某一时候；从前
satisfactory	/ˌsætəsˈfæktɹi/, /ˌsætɪsˈfæktɝi/	adj. 令人满意的，良好的
particularly	/ˌpɑɹˈtɪkjəɫɝɫi/, /pɝˈtɪkjəɫɝɫi/	adv. 特别，尤其，格外
distribute	/dɪˈstɹɪbjut/	v. 分发，分送；分布
reason	/ˈɹizən/	n. 理由；理性 v. 推理
cross	/ˈkɹɔs/	v. 穿过；使交叉
development	/dɪˈvɛɫəpmənt/	n. 发展；生长；开发
sour	/ˈsaʊɝ/, /ˈsaʊɹ/	adj. 酸的；脾气坏的
disadvantage	/ˌdɪsədˈvænɪdʒ/, /ˌdɪsədˈvæntɪdʒ/	n. 不利，不利地位
flush	/ˈfɫəʃ/	v. （脸）发红
minor	/ˈmaɪnɝ/	adj. 较小的；较次要的
canvas	/ˈkænvəs/	n. 粗帆布；一块油画布
medical	/ˈmɛdəkəɫ/, /ˈmɛdɪkəɫ/	adj. 医学的；内科的
economical	/ˌɛkəˈnɑmɪkəɫ/, /ˌikəˈnɑmɪkəɫ/	adj. 节约的；经济的
could	/ˈkʊd/	modal. 能，会，可以（can的过去式）
oppress	/əˈpɹɛs/	v. 压迫，压制；压抑
acute	/əkˈjut/	adj. 敏锐的
Latin	/ˈɫætən/	adj. 拉丁的 n. 拉丁语
rough	/ˈɹəf/	adj. 表面不平的；粗略的
merchant	/ˈmɝtʃənt/	n. 商人；零售商
other	/ˈəðɝ/	adj. 另外的；其余的
progressive	/pɹəˈɡɹɛsɪv/	adj. 进步的；向前进的
heal	/ˈhiɫ/	v. 治愈；使和解
competition	/ˌkɑmpəˈtɪʃən/	n. 竞争；比赛
court	/ˈkɔɹt/	n. 法院，法庭；庭院
drink	/ˈdɹɪŋk/	v. 饮 n. 饮料
ball	/ˈbɔɫ/	n. 球；球状物；舞会
organize	/ˈɔɹɡəˌnaɪz/	v. 组织；编组
remain	/ɹiˈmeɪn/, /ɹɪˈmeɪn/	v. 剩下，余留；保持
chart	/ˈtʃɑɹt/	n. 图，图表；海图
interference	/ˌɪnɝˈfɪɹəns/, /ˌɪntɝˈfɪɹəns/	n. 干涉，干预；阻碍
dock	/ˈdɑk/	n. 船坞；码头
anchor	/ˈæŋkɝ/	n. 锚 v. 抛锚，停泊
breast	/ˈbɹɛst/	n. 乳房；胸脯，胸膛
glance	/ˈɡɫæns/	v. 看一下 n. 一瞥
announce	/əˈnaʊns/	v. 宣布，宣告，发表
join	/ˈdʒɔɪn/	v. 参加；连接
poor	/ˈpuɹ/	adj. 贫穷的；贫乏的
reference	/ˈɹɛfɝəns/, /ˈɹɛfɹəns/	n. 参考；提及
delete	/dɪˈɫit/	v. 删除；擦掉
digest	/ˈdaɪdʒɛst/, /daɪˈdʒɛst/	v. 消化；领会 n. 文摘
great	/ˈɡɹeɪt/	adj. 大的；伟大的
nut	/ˈnət/	n. 坚果，干果；螺母
gun	/ˈɡən/	n. 枪，炮，手枪
urge	/ˈɝdʒ/	v. 催促；推进 n. 冲动
but	/ˈbət/	conj. 但是，可是
ought	/ˈɔt/	modal. 应当，应该
impossible	/ˌɪmˈpɑsəbəɫ/	adj. 不可能的，办不到的
real	/ˈɹiɫ/	adj. 真的；现实的
score	/ˈskɔɹ/	n. 得分，比数；成绩
devise	/dɪˈvaɪs/, /dɪˈvaɪz/	v. 设计，发明
equipment	/ɪˈkwɪpmənt/	n. 装备，设备；配备
luck	/ˈɫək/	n. 好运，幸运；运气
absolutely	/ˌæbsəˈɫutɫi/	adv. 完全地；绝对地
queue	/ˈkju/	n. 行列 v. 排队等候
rural	/ˈɹʊɹəɫ/	adj. 农村的，田园的
office	/ˈɔfɪs/	n. 办公室；处，局，社
sore	/ˈsɔɹ/	adj. 痛的；恼火的 n. 疮
confuse	/kənˈfjuz/	v. 使混乱，混淆
neighbourhood	/ˈneɪbɝˌhʊd/	n. 附近地区（的居民）；邻近
Japanese	/ˌdʒæpəˈniz/	adj. 日本的 n. 日本人
fulfil	/fʊɫˈfɪɫ/	v. 履行；满足；完成
chocolate	/ˈtʃɔkɫət/	n. 巧克力；巧克力糖
chicken	/ˈtʃɪkən/	n. 鸡；鸡肉
limited	/ˈɫɪmətəd/, /ˈɫɪmɪtɪd/	adj. 有限的
kilometre	/ˌkɪˈɫɔˌmətɝ/, /ˌkɪɫəˈmitɝ/	n. 千米，公里
separate	/ˈsɛpɝˌeɪt/, /ˈsɛpɝɪt/, /ˈsɛpɹət/	adj. 分离的；个别的
campus	/ˈkæmpəs/	n. 校园，学校场地
blanket	/ˈbɫæŋkət/, /ˈbɫæŋkɪt/	n. 毛毯，毯子，羊毛毯
frequently	/ˈfɹikwəntɫi/, /ˈfɹikwɛntɫi/	adv. 时常，常常
thermometer	/θɝˈmɑmətɝ/	n. 温度计，寒暑表
undoubtedly	/ənˈdaʊtɪdɫi/	adv. 无容置疑，肯定地
market	/ˈmɑɹkət/, /ˈmɑɹkɪt/	n. 市场；集市；销路
big	/ˈbɪɡ/	adj. 大的，巨大的
half	/ˈhæf/	n. 半，一半 adj. 一半的
blade	/ˈbɫeɪd/	n. 刀刃，刀片；叶片
afraid	/əˈfɹeɪd/	adj. 害怕的；担心的
cinema	/ˈsɪnəmə/	n. 电影院；电影，影片
stiff	/ˈstɪf/	adj. 硬的；僵直的
librarian	/ɫaɪˈbɹɛˌɹiən/	n. 图书馆馆长
lamp	/ˈɫæmp/	n. 灯
hostile	/ˈhɑstəɫ/, /hɑˈstaɪɫ/	adj. 不友善的；敌方的
line	/ˈɫaɪn/	n. 线；线条；排；路线
extensive	/ɪkˈstɛnsɪv/	adj. 广阔的；广泛的
bet	/ˈbɛt/	v. 打赌 n. 打赌
prove	/ˈpɹuv/	v. 证明；结果是
sway	/ˈsweɪ/	v. 摇动
locomotive	/ˌɫoʊkəˈmoʊtɪv/	n. 火车头，机车
along	/əˈɫɔŋ/	prep. 沿着 adv. 向前
oven	/ˈəvən/	n. 炉，灶；烘箱
bury	/ˈbɛɹi/	v. 埋葬，葬；埋藏
arrow	/ˈæɹoʊ/, /ˈɛɹoʊ/	n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
green	/ˈɡɹin/	adj. 绿色的 n. 绿色
logic	/ˈɫɑdʒɪk/	n. 逻辑，推理；逻辑性
fluid	/ˈfɫuəd/, /ˈfɫuɪd/	n. 流体，液体
press	/ˈpɹɛs/	v. 压，按；按，揿；催促
firm	/ˈfɝm/	n. 商行，商号，公司
funeral	/ˈfjunɝəɫ/	n. 葬礼，丧礼，丧葬
compile	/kəmˈpaɪɫ/	v. 编辑，编制，搜集
grey	/ˈɡɹeɪ/	adj. 灰色的 n. 灰色
claw	/ˈkɫɔ/	n. 爪，脚爪，螯
fluent	/ˈfɫuənt/	adj. 流利的，流畅的
prominent	/ˈpɹɑmənənt/	adj. 突出的；凸起的
bitterly	/ˈbɪtɝɫi/	adv. 苦苦地；悲痛地
dissatisfy	/dɪˈsætəsˌfaɪ/	v. 使不满，使不平
embrace	/ɛmˈbɹeɪs/, /ɪmˈbɹeɪs/	v. 拥抱；包括
defence	/dɪˈfɛns/	n. 防御；防务；辩护
trade	/ˈtɹeɪd/	n. 贸易；职业 v. 交易
owe	/ˈoʊ/	v. 欠；应把…归功于
gray	/ˈɡɹeɪ/	adj. 灰色的 n. 灰色
digital	/ˈdɪdʒətəɫ/, /ˈdɪdʒɪtəɫ/	adj. 数字的，计数的
gradually	/ˈɡɹædʒuəɫi/, /ˈɡɹædʒuɫi/	adv. 逐渐地，逐步地
ax	/ˈæks/	n. 斧子
estimate	/ˈɛstəˌmeɪt/, /ˈɛstəmət/	v. 估计，评价 n. 估计
avoid	/əˈvɔɪd/	v. 避免；躲开
acceleration	/ˌækˌsɛɫɝˈeɪʃən/	n. 加速；加速度
also	/ˈɔɫsoʊ/	adv. 而且，还；亦，也
subway	/ˈsəbˌweɪ/	n. 地道；地下铁路
circumference	/ˌsɝˈkəmfɹəns/	n. 圆周，周长，圆周线
seek	/ˈsik/	v. 寻找，探索；试图
require	/ˌɹiˈkwaɪɝ/, /ɹiˈkwaɪɹ/, /ɹɪˈkwaɪɝ/	v. 需要；要求，命令
bounce	/ˈbaʊns/	v. 反跳，弹起；跳起
minister	/ˈmɪnəstɝ/, /ˈmɪnɪstɝ/	n. 部长，大臣；公使
miracle	/ˈmɪɹəkəɫ/	n. 奇迹，令人惊奇的人
clothe	/ˈkɫoʊð/	v. 给…穿衣服
newly	/ˈnuɫi/	adv. 新近，最近
confidence	/ˈkɑnfədəns/	n. 信任；信赖；信心
lack	/ˈɫæk/	n. 缺乏，不足 v. 缺乏，不足
bureau	/ˈbjʊɹoʊ/	n. 局，司，处；社，所
detection	/dɪˈtɛkʃən/	n. 察觉，发觉；侦察
jury	/ˈdʒʊɹi/	n. 陪审团；评奖团
difference	/ˈdɪfɝəns/, /ˈdɪfɹəns/	n. 差别；差；分歧
hope	/ˈhoʊp/	v. 希望 n. 希望
grant	/ˈɡɹænt/	n. 授给物 v. 授予
insufficient	/ˌɪnsəˈfɪʃənt/	adj. 不足的；不适当的
cheerful	/ˈtʃɪɹfəɫ/	adj. 快乐的，愉快的
committee	/kəˈmɪti/	n. 委员会；全体委员
east	/ˈist/	n. 东；东部 adv. 在东方
pronunciation	/pɹəˌnənsiˈeɪʃən/, /pɹoʊˌnənsiˈeɪʃən/	n. 发音，发音法
photo	/ˈfoʊˌtoʊ/	n. 照片，相片
occupation	/ˌɑkjəˈpeɪʃən/	n. 职业；占领，占据
document	/ˈdɑkjəmɛnt/, /ˈdɑkjumɛnt/	n. 公文，文件；证件
popular	/ˈpɑpjəɫɝ/	adj. 流行的；民众的
resume	/ˈɹɛzəˌmeɪ/, /ɹiˈzum/, /ɹɪˈzum/	v. 重新开始；恢复
eyesight	/ˈaɪˌsaɪt/	n. 视力，目力
canal	/kəˈnæɫ/	n. 运河；沟渠；管
obviously	/ˈɑbviəsɫi/	adv. 明显地，显然地
please	/ˈpɫiz/	v. 使高兴，请满意
breeze	/ˈbɹiz/	n. 微风，和风
mechanic	/məˈkænɪk/, /mɪˈkænɪk/	n. 技工，机械，机修工
beside	/ˌbiˈsaɪd/, /bɪˈsaɪd/	prep. 在…旁边
lid	/ˈɫɪd/	n. 盖子，盖，囊盖
percent	/pɝˈsɛnt/	adj. 百分之…
Englishman	/ˈɪŋɡɫɪʃmən/	n. 英国男子
mature	/məˈtʃʊɹ/, /mətˈjʊɹ/	adj. 成熟的 v. 使成熟
basketball	/ˈbæskətˌbɔɫ/	n. 篮球运动；篮球
orbit	/ˈɔɹbət/	n. 运行轨道 v. 环绕
govern	/ˈɡəvɝn/	v. 统治，治理；支配
expose	/ɪkˈspoʊz/	v. 使暴露；揭露
nod	/ˈnɑd/	v. 点（头）；点头表示
ash	/ˈæʃ/	n. 灰，灰末；骨灰
privilege	/ˈpɹɪvɪɫədʒ/, /ˈpɹɪvɪɫɪdʒ/, /ˈpɹɪvɫədʒ/, /ˈpɹɪvɫɪdʒ/	n. 特权，优惠
grocer	/ˈɡɹoʊsɝ/	n. 食品商；杂货商
numerous	/ˈnumɝəs/	adj. 为数众多的；许多
swift	/ˈswɪft/	adj. 快的；反应快的
arise	/ɝˈaɪz/	v. 出现；由…引起
foremost	/ˈfɔɹˌmoʊst/	adj. 最初的；第一流的
wage	/ˈweɪdʒ/	v. 开展（运动）
implication	/ˌɪmpɫəˈkeɪʃən/	n. 含义，暗示，暗指
childish	/ˈtʃaɪɫdɪʃ/	adj. 孩子的；幼稚的
name	/ˈneɪm/	n. 名字；名誉 v. 说出
prefer	/pɹəˈfɝ/, /pɹiˈfɝ/, /pɹɪˈfɝ/	v. 更喜欢
exact	/ɪɡˈzækt/	adj. 确切的；精确的
often	/ˈɔfən/, /ˈɔftən/	adv. 经常，常常
residence	/ˈɹɛzɪdəns/	n. 居住；驻扎；住处
flood	/ˈfɫəd/	n. 洪水 v. 淹没
generation	/ˌdʒɛnɝˈeɪʃən/	n. 一代，一代人；产生
